entryId	lemma	partOfSpeech
awn4-e000038366e59	رتيبة الإسقمريات	n
awn4-e00009ca4f0ec	مانيكان	n
awn4-e0000b52e1adb	جنس فيوزاريوم	n
awn4-e00012e4bb828	حرد	n
awn4-e0001c2d74495	فذ	n
awn4-e0002519ca75c	ثُلَاثِيُّ الْبِنْس	s
awn4-e0003431ddeb1	توسل	n
awn4-e0003d6eb7415	فوسبري	n
awn4-e0004abeb0f12	تشويه غير خطي	n
awn4-e0004de019044	مزخرف	n
awn4-e0005e36aea84	سكرتير اجتماعي	n
awn4-e00063b3cf3be	خرافات إيسوب	n
awn4-e00065f62e27e	دفتر شيكات	n
awn4-e0006ee564abe	مُثبِّت	n
awn4-e0007bd2a2db0	مشبك شعر	n
awn4-e0007f5fab581	جنس سينجناثوس	n
awn4-e0008b6a49508	دومينيون	n
awn4-e0008bbdfd60c	أَسْرَع مِن الصَّوْت	a
awn4-e0008f714c202	متسلسلة جربية	n
awn4-e000907e4717f	شيخة الرماد	n
awn4-e00091c661e07	روبيكون	n
awn4-e000977ede619	أخوياً	r
awn4-e0009c3324ab1	تشريح مجهري	n
awn4-e000a5328b114	جَدِير بِالتَّقْدِير	s
awn4-e000ae5a2fcd6	طابع باللمس	n
awn4-e000aec86a600	زنبق الوادي الكاذب	n
awn4-e000b234e0ede	قلاب الهبوط	n
awn4-e000c0bf04ed9	مسطرين الكحلة	n
awn4-e000c3742c07f	سرطان ناسك	n
awn4-e000db9cfef16	كوبياء	n
awn4-e000dba5e9df7	محاصصة	n
awn4-e000dc2ef4f28	حموضة الدم	n
awn4-e000eeced17f5	حاصص	v
awn4-e000efa76ded6	نَقِيّ	s
awn4-e000f7c05f929	قلادة ضيقة	n
awn4-e0010447f9c81	إينيتس	n
awn4-e00104bd3290e	أنوناكي	n
awn4-e00109910be28	سقوط رياضي	n
awn4-e0010af7591d8	أسبر	n
awn4-e0010b6efaaf8	سَلِيمُ التَّفْكِير	s
awn4-e0010f9317f10	مستيقظ	a
awn4-e00116afc79a2	معرض كتاب	n
awn4-e0011bfc3c8fc	تسارع المشي	n
awn4-e00122cfb340d	خف	v
awn4-e001261f35ba8	ضغط شرياني	n
awn4-e00141d1e7b25	بِالحَلِيب	s
awn4-e00144d1238f9	سِلْمِيّ	s
awn4-e00148a5bb826	سالمونيلا معوية	n
awn4-e00159f002370	تَجَمُّع جَمَاهِيرِيّ	n
awn4-e00170b63f405	فرن الدست	n
awn4-e001714120715	مَمْشُوق	s
awn4-e0017799640c2	قصير المهماز	a
awn4-e0017ad785b82	تشيللو	n
awn4-e0017ca36c1ff	رتبة الغطاسيات	n
awn4-e0018e443e42e	عدسة حارقة	n
awn4-e001a7499a930	شِبْه رَسْمِيّ	s
awn4-e001b2a5bdbc3	أمومة	n
awn4-e001cc28b7e11	شاحب كالموتى	a
awn4-e001d76c6e10f	مِلْكِيَّة فَرْدِيَّة	n
awn4-e001df4c9c6a9	رَسَمَ صُورَة	v
awn4-e001e342236f6	قيلة سحائية	n
awn4-e001fec0b2d92	الجاينية	n
awn4-e0023de2ab924	إنديجوفيرا	n
awn4-e0023fd0bfe87	رمي المطرقة	n
awn4-e002408135ce3	كرسي بذراع كتابة	n
awn4-e002481f424cb	تحفة متوارثة	n
awn4-e0024b3ea315f	بحيرة ناصر	n
awn4-e0024b5caa9e4	مؤتلف	a
awn4-e002533a26eb2	قليل الرغوة	a
awn4-e0025a7875759	حَمَّسَ	v
awn4-e00266b1f2fb5	ببحّة	r
awn4-e0026874d44dc	قَابِل لِلتَّصْحِيح	s
awn4-e002730c1d334	جنس أوستروسيدروس	n
awn4-e00281e75bed1	محرك بحث	n
awn4-e00299fe1f080	مولالية	n
awn4-e002a3e63fed2	بين الولايات	a
awn4-e002ac719a809	بَبْغَاء	n
awn4-e002ad38adfb2	خَشَبِيّ	s
awn4-e002ad7ef855a	متنازع عليه	a
awn4-e002c8b1fa034	غسيل السيارات	n
awn4-e002c9054a8bc	في الداخل	r
awn4-e002cbd2856ba	برونوس	n
awn4-e002d3638d207	قارئ عادي	n
awn4-e002d466f2057	سارويان	n
awn4-e002d79f1bc7e	الأسباط الاثنا عشر	n
awn4-e002e73aa0e5c	بمجرد أن	r
awn4-e002ec306cb46	تطاير	n
awn4-e002ecd689b2a	كوريا الجنوبية	n
awn4-e002eee90b883	تدلي	n
awn4-e002eefd72848	وصفياً	r
awn4-e002fc9e12968	ديونيا	n
awn4-e002fcf638316	خزانة تهوية	n
awn4-e003025bdf950	لامارْكِيّ	n
awn4-e003063127d32	أَسْوَد حَالِك	s
awn4-e003073914d94	أَرْسَلَ رِسَالَة	v
awn4-e00308482b1c1	فشل كلوي مزمن	n
awn4-e00309b22bbc0	مقربة طويلة	n
awn4-e0030e41ec882	مَلِيء بِالإِثَارَة	s
awn4-e00320974f598	دائرة نصف قطرها	n
awn4-e00324401b31e	أبلق	n
awn4-e0033016f20a1	الخمسينات	n
awn4-e0033765fc196	مستخلص الكولا	n
awn4-e0033935dfdc6	جنس بيجوبوس	n
awn4-e00341adc4ecc	طهر بسائل	v
awn4-e0034b3276247	قضبان نابير	n
awn4-e00352ef12c33	زَيَّنَ بِالخَرَز	v
awn4-e0036ce4aecaa	غير مهذب	a
awn4-e00370e2e12da	وئام	n
awn4-e003715ab2d46	على سبيل المثال لا الحصر	r
awn4-e0037a201b30c	باكيتين	n
awn4-e0037d3a92fca	قابل للمغنطة	a
awn4-e003898aac25d	حَائِر	s
awn4-e0038da376977	جِدًّا	r
awn4-e0038ee9cd3fc	قمة التطور	n
awn4-e00399ca4e44f	صناعة الشروق	n
awn4-e0039c068d921	إشريكية	n
awn4-e003a985e7b90	صدّق على	v
awn4-e003ad0c0a0f8	قطيعي	a
awn4-e003b7b86b264	زيت نباتي	n
awn4-e003c0b40cdae	واترلو	n
awn4-e003ce780ba3d	بلسموريزا	n
awn4-e003e52c03cf3	جنس أنكيلوصور	n
awn4-e003e60442f78	قرود عليا	n
awn4-e003e9cc05bd4	جهاز عرض علوي	n
awn4-e003ec982313f	عثة دودة القز	n
awn4-e003f81c7aa55	تجربة أداء	n
awn4-e00402689f2ae	فترة حكم	n
awn4-e00410e912a61	قاضى	v
awn4-e0041125aeecf	كرزيل	n
awn4-e0042212457c8	غَيْرُ قَابِلٍ لِلنِّقَاش	s
awn4-e00423b1cdc99	تَرْحِيبِيّ	s
awn4-e0042408775ce	خيمي الشكل	a
awn4-e0042d600e5b3	القاعدة	n
awn4-e0042dbdd5448	اضطراب الدم	n
awn4-e0043289556a1	السنة الثانية	n
awn4-e0043c2ca9d0d	تَحَنَّطَ	v
awn4-e00440a4a6852	صاقل الأحجار الكريمة	n
awn4-e0045a4291d07	الأسئلة الشائعة	n
awn4-e0046f204ca9a	مُنْفِر	s
awn4-e00473a8daa42	سقطة لفظية	n
awn4-e0047a0a618ab	كحل	v
awn4-e0048cad61c3b	له آثار	a
awn4-e00491012f920	عصبية	n
awn4-e00496df3ec1f	خَرِفَ	v
awn4-e0049c6230cb4	معركة رافينا	n
awn4-e004a7a828dfe	كَرْبَنَ	v
awn4-e004c0845601f	غير موصوف	a
awn4-e004c6f6d7f7f	بترابط وثيق	r
awn4-e004d6433f76f	فوقي	a
awn4-e004efae1e282	رمد جاف	n
awn4-e004f97be511c	اعتداء جسدي	n
awn4-e0050972ea66c	جنس هيمودوروم	n
awn4-e005273eeb321	تي	n
awn4-e00533741bf7f	دقة التصويب	n
awn4-e00544ef8efd7	جوارح	n
awn4-e00548eea419b	نَسَبَ الفضل	v
awn4-e0054c475ca86	صَلْب	s
awn4-e0054cd2e98c4	إِيقَاع	n
awn4-e0054f8f0067a	مسطرة مستقيمة	n
awn4-e005556599fdd	ضَنِين	s
awn4-e005670ec5163	لغة تاي البيضاء	n
awn4-e005679f32055	بنى يدوياً	v
awn4-e005697e878a9	العقبة	n
awn4-e0056e87fbec0	سيانوجين	n
awn4-e0057700527aa	نظارات شمسية	n
awn4-e0057a643abcd	فرانك كابرا	n
awn4-e005844ac711d	بِبَلَادَة	r
awn4-e0058584f850e	عَشِقَ	v
awn4-e005861690c96	ضفيرة مشيموية	n
awn4-e0058b4d82ba1	مصاب بالإمساك	a
awn4-e0059d808422e	دونكيرك	n
awn4-e0059e7f14ba2	جنس سفيرنا	n
awn4-e005a632c2b08	عثة بنية الذيل	n
awn4-e005bd2feceda	تقمص	n
awn4-e005cb845e401	غَيْرُ مُعْتَاد	s
awn4-e005d0b6b59bf	جولة حانات	n
awn4-e005d0f23c8a1	الفصيلة الأكانثورية	n
awn4-e005d5cea2c63	بِمُوَاظَبَة	r
awn4-e005daadfb17c	نخالة	n
awn4-e005f6bcb60e1	أخت الزوجة	n
awn4-e005f8f2412e5	خطابة حماسية	n
awn4-e0060c847e572	هواسكاران	n
awn4-e00616897cc24	ركب أخمصا	v
awn4-e0061aedde362	سيفتين	n
awn4-e00627638ec58	آكِل لِلْأَعْشَاب	a
awn4-e0062f7a5d848	كلوزابين	n
awn4-e00631bea5239	حمض دهني	n
awn4-e006442801334	وَرْدِيّ الخَدَّيْن	s
awn4-e00649a3f4c16	فَقَأَ	v
awn4-e00659d6d92eb	ريت	n
awn4-e0065abe267ef	أُحَادِيُّ الصَّوْت	s
awn4-e0068a5f374e9	كلب صيد الغزال	n
awn4-e0068ce3407bb	مجموعة أوراق اللعب	n
awn4-e0068eacc128c	تَشَبَّثَ بِرَأْيِه	v
awn4-e006905203487	خَشِن الشَّعْر	s
awn4-e006a0fcab6a3	دريم ترانس	n
awn4-e006a68614126	طاقم قاذفة	n
awn4-e006b018dc26b	ورد بانكسيا	n
awn4-e006b9d5b9c4f	مُصاب بِفُقْدان الشَّهِيَّة	n
awn4-e006cc972d845	بانتفاض	r
awn4-e006d73536097	صفائح بلاستيكية	n
awn4-e006e08c5970d	ما قبل الجوراسي	a
awn4-e006e30ded0a9	ستارة شرائحية أفقية	n
awn4-e006e95a29e06	نواء ضخم	a
awn4-e006eeec8523c	علم العقاب	n
awn4-e006f30abc766	حركة الجهاد الإسلامي في فلسطين	n
awn4-e006f74bce130	فكاهة سوداء	n
awn4-e006fdaa11ca6	تسوغا	n
awn4-e006ff9ddfde7	غرابيلي	n
awn4-e0070559f245a	جندي القوات الخاصة	n
awn4-e0070d6350035	وسط بين كوكبي	n
awn4-e0070fea41ff6	بطعم الفانيليا	a
awn4-e00711c66f585	عرفاني	a
awn4-e00712fd0480f	سمكة الشريط	n
awn4-e007240e94a09	خاصية فسيولوجية	n
awn4-e00725fa077ec	جنس إيتوباتوس	n
awn4-e007294ac0afd	بطلان	n
awn4-e0072ad37e507	رأس النحاس الأسترالي	n
awn4-e0072cba3215c	جارنيت	n
awn4-e0073788180a1	وزن الصيدلة	n
awn4-e0073d6595a23	لعب دور البطولة	v
awn4-e00746932893d	اضطراب مناعي	n
awn4-e0074795bcd58	جو لطيف	n
awn4-e0074ba0ecebe	اقتراض	n
awn4-e0075f0c4b6c2	خَانِق	s
awn4-e00765660e08e	لوزة حنكية	n
awn4-e00769cc78f22	استخدام كلمات ملتبسة	n
awn4-e00771a024701	كونتي	n
awn4-e00776384ca68	ساكنة الأحراش	n
awn4-e00778606dbcf	رتبة متماثلات الأرجل	n
awn4-e0077eb08b3f8	جندي قوات خاصة بحرية	n
awn4-e0077ed798c0a	بيزارو	n
awn4-e0078ec5b0c54	صورة داجيرية	n
awn4-e0079454592e7	تأثيل	n
awn4-e007af2ee62f2	جنس أونيكيوم	n
awn4-e007b0874971f	عفو عام	n
awn4-e007c38ac2dff	أرض كنعان	n
awn4-e007c66dbcbd8	شجار منهي للعلاقة	n
awn4-e007d95036bac	تَوْضَّعَ تَحْت	v
awn4-e007ec5865a02	غرفة مشمسة	n
awn4-e007fdc684621	أعلى	a
awn4-e00805e2b9fa8	خطيب	n
awn4-e0080b7f563ed	مقاومة سرية	n
awn4-e0080d2019a7b	ضغط وريدي	n
awn4-e00817897e17a	بعل والتنين	n
awn4-e0082914d3e40	ظهر السلم	n
awn4-e0082ba68faff	سكولاستي	n
awn4-e008302714fe4	فِي وَرْطَة	s
awn4-e008349abe106	بريتزيلاغو	n
awn4-e008351c8ee4e	ذُو لِحْيَة	s
awn4-e00837bec4516	تميمة الحظ	n
awn4-e008389e25673	دبدبة	n
awn4-e008492937910	علاء الدين	n
awn4-e0084acfffc83	فرايزلاند	n
awn4-e0084c84d3781	أزرق سماوي	n
awn4-e008508f4cbd2	صاحب نفوذ خفي	n
awn4-e0085d8205c62	الغَرْب	n
awn4-e0085f108506d	شبكة شعر	n
awn4-e0087a5dcedc5	إملائي	a
awn4-e008970015315	كولورادو	n
awn4-e0089da0dac25	ريشة مروحة	n
awn4-e0089ec3166ef	من مكان لآخر	r
awn4-e0089fa1b4c29	نيتروكالسيت	n
awn4-e008a75275d3a	المهاجرون	n
awn4-e008a8931c400	غير مستمر	a
awn4-e008bccfb9fbc	فيروس شلل الأطفال	n
awn4-e008ce15b08d8	فصيلة الأسبلينيات	n
awn4-e008cfa5a086a	مرسوم رضائي	n
