senseId	entryId	lemma	partOfSpeech	synsetId	subcat
awn4-s0000099b2fde	awn4-e53c1b25592c9	هَيِّن	s	awn4-01148056-s	
awn4-s0000c938efba	awn4-ec979b9854f89	التصلب الجانبي الضموري	n	awn4-14129219-n	
awn4-s0000f51512ce	awn4-e07a54a55961f	رافع تنافري	n	awn4-92463847-n	
awn4-s00011865ccc4	awn4-e619167073ef0	تداخل	n	awn4-00977744-n	
awn4-s00018a290858	awn4-e56157d7f8510	داء باركنسون	n	awn4-14117832-n	
awn4-s0001de9e52ca	awn4-eb66d35080c99	داخل القسم	a	awn4-03071662-a	
awn4-s0001e9e02366	awn4-eb506fd0a0fc8	جون دو	n	awn4-10243276-n	
awn4-s000268e13488	awn4-e69c0960ae24e	شكل فرعي	n	awn4-13886223-n	
awn4-s000318515315	awn4-e64b84e113f9b	إلقاء	n	awn4-07249878-n	
awn4-s0003df928c2a	awn4-e40282e22ea9e	عصا الراعي	n	awn4-03138769-n	
awn4-s00040d7d9725	awn4-e691743a25468	حرمان حسي	n	awn4-00425037-n	
awn4-s0004c4071b86	awn4-e71ea055d5d9c	برنامج أبولو	n	awn4-05908228-n	
awn4-s0004f3714f9b	awn4-e0a0b2e90baf0	أبقى	v	awn4-02207950-v	
awn4-s00050e949144	awn4-eef5af9fb19f6	منشور تافه	n	awn4-90011051-n	
awn4-s000530c7322f	awn4-ed3641f9d1acf	حزب العمال المزارعين	n	awn4-08276532-n	
awn4-s0005a521a1bb	awn4-e8e9ae9162342	عمر الحمل	n	awn4-04932241-n	
awn4-s0005c44f61e9	awn4-e6037f2928099	ماصة الخنزير	n	awn4-01448498-n	
awn4-s0007444b5e24	awn4-e28c490352c09	زوج مدبر للمنزل	n	awn4-10208195-n	
awn4-s0007ab33a36b	awn4-e4ee4cca87a35	كبسولي	a	awn4-02689414-a	
awn4-s0007f275c346	awn4-e483f56b19561	إعادة خلق	n	awn4-00910470-n	
awn4-s000806c806a5	awn4-e63f3c3d864a4	آخر	a	awn4-01016876-a	
awn4-s00080f0da969	awn4-e1f62002c76ef	خلد ذهبي	n	awn4-01893052-n	
awn4-s00084e330349	awn4-e969b4a3197d2	بازلاء عطرية	n	awn4-12561305-n	
awn4-s000971ade11e	awn4-eaea5ff1ca93e	كرم	n	awn4-01087861-n	
awn4-s0009be7b036e	awn4-e3b52d2563855	رَخِيم	s	awn4-01458000-s	
awn4-s0009fc1e0d5f	awn4-e7d56ab11e89f	تذلل	n	awn4-13975684-n	
awn4-s000a1958dcb0	awn4-e74d0d0aaf333	صفحتان متقابلتان	n	awn4-06268608-n	
awn4-s000a48582d7c	awn4-eabfb500758b8	نَادَى (بِلَقَبٍ)	v	awn4-02607453-v	
awn4-s000b205cec09	awn4-e998a90b176c1	طَيْفِيّ	s	awn4-01946019-s	
awn4-s000b5432aa92	awn4-eb1a849f5f96b	احتواء حلقي	n	awn4-01150189-n	
awn4-s000b7bb7f3a8	awn4-e2392db6fd1c2	الفصيلة الفورفيكولية	n	awn4-02275772-n	
awn4-s000c3273337e	awn4-e7880a5320ab9	جنس بورسيرا	n	awn4-12711950-n	
awn4-s000c597b1876	awn4-e215489274797	لَمَّحَ	v	awn4-00929682-v	
awn4-s000cc024a60c	awn4-ef26fd54437ee	سومطرة	n	awn4-08928727-n	
awn4-s000d68f11a8f	awn4-eca7389e23b7a	حِكَمِيّ	s	awn4-00549171-s	
awn4-s000e1c6c76b6	awn4-ea079c348098c	مادة الاختبار	n	awn4-14608570-n	
awn4-s000e374a364f	awn4-edd030447c945	تحفيزي	a	awn4-03065814-a	
awn4-s000e9f387040	awn4-ed02c9bc49eb2	بطة مسكية	n	awn4-01855312-n	
awn4-s000ef7031a60	awn4-ed86f3d961559	كاراكاس	n	awn4-09185069-n	
awn4-s000fc184bf5a	awn4-eae12f969a11e	الغرفة الخضراء	n	awn4-03463060-n	
awn4-s000fd56c7821	awn4-ea1dca5af3d3a	كيمياء عضوية	n	awn4-06098583-n	
awn4-s0010244cbbd9	awn4-eecdcf5c6784e	تويد	n	awn4-04509797-n	
awn4-s00102e51ef50	awn4-e8be5614aefe1	عَابِس	s	awn4-01080846-s	
awn4-s001062832193	awn4-eb1e94d661d01	كوب	n	awn4-13788873-n	
awn4-s0010818c9d96	awn4-e4ac69ab120a5	قرش القط	n	awn4-01491026-n	
awn4-s0010aaddd832	awn4-e36b03afdf3ea	آفة البلوط	n	awn4-14241775-n	
awn4-s0010eb445e41	awn4-ed22d48aeb000	مُسْتَرْجَع	s	awn4-02020726-s	
awn4-s0010ec96488e	awn4-e7ddd45a45bbf	حَسَّاس	s	awn4-00192753-s	
awn4-s001125ec6f86	awn4-ea34e9605672c	البحرين	n	awn4-08867413-n	
awn4-s0011e018b2bb	awn4-edb2b1bb58808	غَيْر مَذْهَبِيّ	s	awn4-02100267-s	
awn4-s001249112e4f	awn4-e023e964b610f	غلوكوزامين	n	awn4-14776502-n	
awn4-s0012bdf83b5c	awn4-ea444ea545c85	مميز	a	awn4-00782933-a	
awn4-s0012c45f7836	awn4-ef3e81595fa49	استنتاج	n	awn4-01194465-n	
awn4-s0012ea920980	awn4-ecf65d0476b9b	بسترة	n	awn4-00255033-n	
awn4-s0012fca3ebd1	awn4-e35e8889efb9e	سرق أدبياً	v	awn4-02282906-v	
awn4-s0013d3f88d7d	awn4-ee7d8e7b49b3b	توكيل نقل ملكية أسهم	n	awn4-06542967-n	
awn4-s001542e94ac3	awn4-e60a5e53b325f	اعتلال القرنية	n	awn4-14280067-n	
