entityId	languageTag	alias
http://www.wikidata.org/entity/Q1000	ar	الجابون
http://www.wikidata.org/entity/Q1000	ar	الجمهورية الغابونية
http://www.wikidata.org/entity/Q1000	ar	جمهورية الغابون
http://www.wikidata.org/entity/Q100188	ar	كلوج
http://www.wikidata.org/entity/Q1005	ar	جمهورية غامبيا
http://www.wikidata.org/entity/Q1006	ar	جمهورية غينيا
http://www.wikidata.org/entity/Q1007	ar	جمهورية غينيا بيساو
http://www.wikidata.org/entity/Q1008	ar	جمهورية ساحل العاج
http://www.wikidata.org/entity/Q1008	ar	جمهورية كوت ديفوار
http://www.wikidata.org/entity/Q1008	ar	كوت ديفوار
http://www.wikidata.org/entity/Q1009	ar	جمهورية الكاميرون
http://www.wikidata.org/entity/Q1009	ar	جمهورية الكمرون
http://www.wikidata.org/entity/Q1009	ar	كمرون
http://www.wikidata.org/entity/Q1013	ar	مملكة ليسوتو
http://www.wikidata.org/entity/Q1016	ar	الجمهورية الليبية
http://www.wikidata.org/entity/Q1016	ar	الليبي
http://www.wikidata.org/entity/Q1016	ar	الليبية
http://www.wikidata.org/entity/Q1016	ar	الليبين
http://www.wikidata.org/entity/Q1016	ar	دولة ليبيا
http://www.wikidata.org/entity/Q1016	ar	ليببيا
http://www.wikidata.org/entity/Q1016	ar	ليبي
http://www.wikidata.org/entity/Q1016	ar	ليبية
http://www.wikidata.org/entity/Q10179	ar	زولوية
http://www.wikidata.org/entity/Q10179	ar	لغة زولوية
http://www.wikidata.org/entity/Q1019	ar	ملجاش
http://www.wikidata.org/entity/Q10199	ar	زازاكية
http://www.wikidata.org/entity/Q10199	ar	لغة زازاكية
http://www.wikidata.org/entity/Q1020	ar	جمهورية مالاوي
http://www.wikidata.org/entity/Q1020	ar	مالاوي
http://www.wikidata.org/entity/Q102225	ar	هاري بوتر و كأس النار
http://www.wikidata.org/entity/Q102225	ar	Harry Potter and the Goblet of Fire
http://www.wikidata.org/entity/Q102235	ar	هاري بوتر وجماعه العنقاء
http://www.wikidata.org/entity/Q102235	ar	Harry Potter and the Order of the Phoenix
http://www.wikidata.org/entity/Q102244	ar	هاري بوتر و حجرة الأسرار
http://www.wikidata.org/entity/Q102244	ar	هاري بوتر وحجره الأسرار
http://www.wikidata.org/entity/Q102244	ar	Harry Potter and the Chamber of Secrets
http://www.wikidata.org/entity/Q1022488	ar	برايتون وهوف
http://www.wikidata.org/entity/Q102317	ar	كيلتسي
http://www.wikidata.org/entity/Q102438	ar	هاري بوتر و حجر الفلاسفة
http://www.wikidata.org/entity/Q102438	ar	هاري بوتر و حجر الفيلسوف
http://www.wikidata.org/entity/Q102438	ar	هاري بوتر وحجر الساحر
http://www.wikidata.org/entity/Q102438	ar	هاري بوتر وحجر الفلاسفة
http://www.wikidata.org/entity/Q102438	ar	Harry Potter and the Philosopher's Stone
http://www.wikidata.org/entity/Q102448	ar	هاري بوتر و سجين أزكابان
http://www.wikidata.org/entity/Q1025	ar	🇲🇷
http://www.wikidata.org/entity/Q1025	ar	الجمهورية الإسلامية الموريتانية
http://www.wikidata.org/entity/Q1027	ar	بور لوي
http://www.wikidata.org/entity/Q1027	ar	بور لويس
http://www.wikidata.org/entity/Q1027	ar	جمهورية موريشيوس
http://www.wikidata.org/entity/Q1027	ar	عاصمة موريشيوس
http://www.wikidata.org/entity/Q1027	ar	مورشس
http://www.wikidata.org/entity/Q1027	ar	موريتيوس
http://www.wikidata.org/entity/Q1027	ar	موريشوس
http://www.wikidata.org/entity/Q102737	ar	اغيديل
http://www.wikidata.org/entity/Q102737	ar	أغيديل، باسكورتوستان
http://www.wikidata.org/entity/Q1028	ar	المملكة المغربية
http://www.wikidata.org/entity/Q1030	ar	نامبيا
http://www.wikidata.org/entity/Q1030	ar	ناميبي
http://www.wikidata.org/entity/Q103011	ar	كورنث
http://www.wikidata.org/entity/Q103011	ar	كورنثة
http://www.wikidata.org/entity/Q103011	ar	كورنثوس
http://www.wikidata.org/entity/Q103011	ar	كورينث
http://www.wikidata.org/entity/Q103011	ar	كورينثوس
http://www.wikidata.org/entity/Q103011	ar	كورينثوس، كورينثيا
http://www.wikidata.org/entity/Q1031803	ar	جامعة روما 2
http://www.wikidata.org/entity/Q1032	ar	جمهورية النيجر
http://www.wikidata.org/entity/Q1032	ar	زندر
http://www.wikidata.org/entity/Q1032	ar	عاصمة النيجر
