sourceEntityId	propertyId	targetEntityId	relationLabel
Q1000	P31	Q6256	instance-of
Q10006	P31	Q515	instance-of
Q10014	P31	Q515	instance-of
Q100148307	P31	Q34770	instance-of
Q100188	P31	Q515	instance-of
Q100271134	P31	Q34770	instance-of
Q1002956	P31	Q34770	instance-of
Q1002996	P31	Q9143	instance-of
Q1003496	P31	Q515	instance-of
Q1005	P31	Q6256	instance-of
Q1006	P31	Q6256	instance-of
Q1007	P31	Q6256	instance-of
Q1008	P31	Q6256	instance-of
Q10086	P31	Q515	instance-of
Q1009	P31	Q6256	instance-of
Q1011	P31	Q6256	instance-of
Q1012	P31	Q515	instance-of
Q101254	P31	Q515	instance-of
Q1013	P31	Q6256	instance-of
Q1014	P31	Q6256	instance-of
Q101418	P31	Q515	instance-of
Q1015	P31	Q515	instance-of
Q101530	P31	Q515	instance-of
Q101541409	P31	Q34770	instance-of
Q1016	P31	Q6256	instance-of
Q1017152	P31	Q34770	instance-of
Q10179	P31	Q34770	instance-of
Q1019	P31	Q6256	instance-of
Q10195	P31	Q34770	instance-of
Q10199	P31	Q34770	instance-of
Q1020	P31	Q6256	instance-of
Q10206	P31	Q34770	instance-of
Q1021	P31	Q515	instance-of
Q102119757	P31	Q34770	instance-of
Q102225	P31	Q11424	instance-of
Q1022268	P31	Q9143	instance-of
Q102235	P31	Q11424	instance-of
Q102244	P31	Q11424	instance-of
Q1022488	P31	Q515	instance-of
Q102252955	P31	Q34770	instance-of
Q102317	P31	Q515	instance-of
Q102350	P31	Q515	instance-of
Q102397	P31	Q515	instance-of
Q1023991	P31	Q9143	instance-of
Q102438	P31	Q11424	instance-of
Q102448	P31	Q11424	instance-of
Q102469	P31	Q515	instance-of
Q1025	P31	Q6256	instance-of
Q10266010	P31	Q34770	instance-of
Q10266012	P31	Q34770	instance-of
Q102682	P31	Q515	instance-of
Q1027	P31	Q6256	instance-of
Q102737	P31	Q515	instance-of
Q1028	P31	Q6256	instance-of
Q1029	P31	Q6256	instance-of
Q1030	P31	Q6256	instance-of
Q103011	P31	Q515	instance-of
Q1031803	P31	Q3918	instance-of
